"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"LOC101928068",8.29429,8.57447,8.26363,8.66431,8.56604,8.55375
"SMYD3",8.68311,8.74628,8.76966,9.00064,9.23374,9.04896
"TFB2M",11.8614,11.7707,11.8214,11.0718,11.1064,11.0289
"ZNF669",8.42558,8.23634,8.32556,8.15334,8.2547,8.36348
"LINC02897",7.61446,7.83959,7.64273,7.60575,7.49068,7.59894
"ZNF124",9.38408,9.27566,9.53975,9.41263,9.48797,9.29724
"ZNF496",9.63741,9.71783,9.71312,9.41579,9.44009,9.31859
"OR2B11",6.44605,6.51134,6.53104,6.43281,6.34158,6.50348
"OR13G1",4.82598,5.026,5.01557,4.72465,4.62233,4.85412
"OR6F1",6.6083,6.6984,6.69188,5.97946,6.37268,6.1757
